episode,reward,length,success,epsilon,loss
1,-500.0,500,0,1.0,
2,-500.0,500,0,0.97,0.4329535961151123
3,-500.0,500,0,0.9409,0.013021640368562657
4,-500.0,500,0,0.912673,0.0005415971435140818
5,-500.0,500,0,0.8852928099999999,0.0008038137038238346
6,-500.0,500,0,0.8587340256999999,0.001138847429305315
7,-358.0,359,1,0.8329720049289999,0.0016935013299794934
8,-500.0,500,0,0.8079828447811299,0.004669567788718268
9,-500.0,500,0,0.783743359437696,0.007650646899361163
10,-500.0,500,0,0.7602310586545651,0.0069677965734153986
11,-500.0,500,0,0.7374241268949281,0.007390511926729232
12,-369.0,370,1,0.7153014030880802,0.00688131573559666
13,-500.0,500,0,0.6938423609954378,0.012512519862968474
14,-349.0,350,1,0.6730270901655747,0.015728791950802717
15,-298.0,299,1,0.6528362774606075,0.02117240099535389
16,-336.0,337,1,0.6332511891367892,0.02622194791859353
17,-318.0,319,1,0.6142536534626856,0.03031137108738566
18,-218.0,219,1,0.595826043858805,0.02555793430443564
19,-203.0,204,1,0.5779512625430409,0.03152739521179933
20,-174.0,175,1,0.5606127246667496,0.03209158112161926
21,-154.0,155,1,0.5437943429267471,0.035541253585007884
22,-203.0,204,1,0.5274805126389447,0.045806143352962736
23,-177.0,178,1,0.5116560972597763,0.04310203089870596
24,-144.0,145,1,0.496306414341983,0.04991727603984804
25,-160.0,161,1,0.48141722191172354,0.06013559827129848
26,-226.0,227,1,0.4669747052543718,0.052409860674734944
27,-157.0,158,1,0.4529654640967406,0.0501820146389117
28,-151.0,152,1,0.4393765001738384,0.0570979746346558
29,-128.0,129,1,0.42619520516862325,0.06143205066377572
30,-106.0,107,1,0.4134093490135645,0.06664851389686081
31,-124.0,125,1,0.4010070685431576,0.05635876661911607
32,-179.0,180,1,0.38897685648686287,0.06539724319655862
33,-152.0,153,1,0.377307550792257,0.059460885466679055
34,-130.0,131,1,0.36598832426848926,0.07072318673759471
35,-110.0,111,1,0.35500867454043455,0.06675368747548074
36,-139.0,140,1,0.3443584143042215,0.08037998285809798
37,-216.0,217,1,0.3340276618750948,0.09249329196572441
38,-167.0,168,1,0.32400683201884195,0.1033622308279432
39,-158.0,159,1,0.3142866270582767,0.10207251589979578
40,-123.0,124,1,0.3048580282465284,0.10696629723233561
41,-118.0,119,1,0.2957122873991326,0.09582166469992459
42,-92.0,93,1,0.2868409187771586,0.09580780711946307
43,-96.0,97,1,0.27823569121384384,0.11164191172256605
44,-135.0,136,1,0.2698886204774285,0.13290724211016341
45,-149.0,150,1,0.26179196186310566,0.10817562866955996
46,-125.0,126,1,0.2539382030072125,0.11813252784370903
47,-116.0,117,1,0.2463200569169961,0.11296424391464545
